iter	Passed	Remaining
0	40	10065
1	87	10851
2	133	11024
3	181	11133
4	225	11073
5	303	12335
6	352	12250
7	394	11923
8	409	10967
9	453	10877
10	491	10670
11	533	10580
12	611	11154
13	657	11090
14	707	11090
15	735	10755
16	786	10777
17	824	10632
18	910	11065
19	918	10562
20	964	10516
21	1008	10447
22	1053	10392
23	1098	10341
24	1145	10306
25	1227	10576
26	1277	10549
27	1319	10463
28	1368	10427
29	1417	10393
30	1437	10157
31	1513	10313
32	1536	10100
33	1585	10070
34	1634	10040
35	1651	9815
36	1665	9588
37	1680	9376
38	1694	9165
39	1726	9064
40	1775	9051
41	1821	9019
42	1876	9032
43	1920	8992
44	1972	8983
45	2019	8957
46	2070	8941
47	2146	9032
48	2171	8907
49	2215	8861
50	2223	8676
51	2240	8532
52	2291	8518
53	2317	8412
54	2332	8270
55	2384	8259
56	2464	8345
57	2482	8217
58	2495	8078
59	2543	8055
60	2590	8026
61	2615	7929
62	2664	7907
63	2706	7866
64	2793	7949
65	2839	7917
66	2889	7892
67	2935	7856
68	2984	7827
69	3028	7786
70	3113	7848
