iter	F1	Logloss
0	0.08416833667	0.6438276206
1	0.1626794258	0.5964750035
2	0.1580487805	0.563996783
3	0.2213883677	0.5348960764
4	0.2286245353	0.5109811649
5	0.25	0.493856249
6	0.2561307902	0.4788646101
7	0.26039783	0.4691697665
8	0.2321262767	0.4645364016
9	0.2329916123	0.4566324779
10	0.2329916123	0.4512577007
11	0.2423681776	0.4454310614
12	0.2444444444	0.4407507751
13	0.2462962963	0.4365330994
14	0.263494968	0.4295541767
15	0.271155596	0.4268110509
16	0.2836495032	0.4219567995
17	0.2859728507	0.4203118626
18	0.2987477639	0.4160587138
19	0.2929020665	0.4157782942
20	0.3090586146	0.4113179839
21	0.3359442994	0.4077185328
22	0.3559759243	0.4036836191
23	0.3587982833	0.3984571898
24	0.3710638298	0.3957937609
25	0.3811129848	0.3935279406
26	0.3742591025	0.3917938192
27	0.3835155593	0.3903046487
28	0.3906119028	0.3879283966
29	0.4033195021	0.3860606591
30	0.4023275145	0.3860367342
31	0.4049792531	0.3852304858
32	0.401659751	0.3850295406
33	0.4049586777	0.3833674268
34	0.4059405941	0.3814526788
35	0.4059405941	0.3813055411
36	0.4082304527	0.3811747461
37	0.4095394737	0.3810610543
38	0.4105090312	0.380941699
39	0.4085315833	0.3806324776
40	0.4197730956	0.3773242238
41	0.4201135442	0.3772975756
42	0.4258064516	0.375521539
43	0.4338118022	0.3738619907
44	0.435059761	0.3724664099
45	0.4378980892	0.3707836941
46	0.4349206349	0.3698881355
47	0.4472440945	0.3683267229
48	0.4472440945	0.3681117505
49	0.4444444444	0.3670729396
50	0.4444444444	0.3670722211
51	0.4456692913	0.3668148412
52	0.4493322859	0.3646102883
53	0.4493322859	0.3645376126
54	0.4481132075	0.3644849226
55	0.4538341158	0.3634002359
56	0.4527712724	0.3619416781
57	0.4524180967	0.3619376846
58	0.4551831645	0.3619002344
59	0.4603421462	0.3609914394
60	0.4630924631	0.3598235149
61	0.4630924631	0.3597418673
62	0.4690402477	0.3579334837
63	0.4714064915	0.3576129665
64	0.4702242846	0.3564187631
65	0.4694035631	0.3555045013
66	0.4698608964	0.3535555372
67	0.4714064915	0.3533702079
68	0.4725868726	0.3508670634
69	0.4819646969	0.3497118547
70	0.4916030534	0.3473280072
