iter	Passed	Remaining
0	59	14817
1	110	13650
2	158	13075
3	199	12282
4	249	12212
5	287	11679
6	373	12974
7	416	12614
8	467	12510
9	513	12323
10	565	12285
11	609	12094
12	620	11320
13	693	11685
14	735	11530
15	782	11443
16	819	11226
17	861	11102
18	904	10992
19	936	10770
20	1018	11107
21	1063	11026
22	1084	10708
23	1133	10678
24	1177	10598
25	1223	10543
26	1300	10741
27	1349	10700
28	1392	10612
29	1445	10602
30	1490	10529
31	1514	10319
32	1558	10246
33	1640	10422
34	1690	10387
35	1737	10325
36	1765	10164
37	1808	10091
38	1855	10036
39	1905	10004
40	1981	10101
41	2029	10048
42	2073	9980
43	2117	9915
44	2129	9700
45	2173	9638
46	2253	9731
47	2294	9655
48	2346	9627
49	2378	9514
50	2404	9380
51	2450	9329
52	2493	9267
53	2575	9347
54	2594	9199
55	2645	9165
56	2696	9130
57	2741	9076
58	2787	9025
59	2804	8882
60	2881	8927
61	2934	8897
62	2983	8855
63	3028	8800
64	3061	8712
65	3108	8666
66	3168	8654
