iter	F1	Logloss
0	0.1953818828	0.6436728851
1	0.2138248848	0.5960006702
2	0.3208191126	0.557622322
3	0.2813891362	0.5334796155
4	0.3293918919	0.5070727912
5	0.247723133	0.4958163588
6	0.2302025783	0.4831193094
7	0.2859680284	0.4688075511
8	0.2708520179	0.4589371556
9	0.2565969063	0.4542629793
10	0.2793196061	0.4458419141
11	0.2700270027	0.4412130595
12	0.2795698925	0.4367592618
13	0.2691960253	0.4345405871
14	0.2707581227	0.4297665663
15	0.2988505747	0.424684512
16	0.2943262411	0.4238923519
17	0.30335097	0.4203627185
18	0.3292894281	0.4147790155
19	0.3476027397	0.4119824099
20	0.3557446809	0.4093671231
21	0.3697478992	0.4060251415
22	0.3819095477	0.4031349988
23	0.385	0.4001494524
24	0.3976801988	0.3969539193
25	0.4019851117	0.3964281549
26	0.4013212221	0.3956290242
27	0.3996696945	0.3951754896
28	0.4013212221	0.3933738465
29	0.4098360656	0.3913850646
30	0.4127764128	0.3911337917
31	0.413736713	0.3907485801
32	0.410801964	0.3901095011
33	0.4220779221	0.3869324734
34	0.4207961007	0.385906489
35	0.4277643261	0.385017084
36	0.4293785311	0.3843144528
37	0.428802589	0.3842574996
38	0.4346431435	0.3827187788
39	0.4342948718	0.3823448672
40	0.445686901	0.3795201072
41	0.4478087649	0.3794004716
42	0.4454976303	0.3778096192
43	0.4495268139	0.3771635699
44	0.4514601421	0.3759387229
45	0.4523246651	0.3740823914
46	0.452681388	0.373291704
47	0.4514601421	0.3729385985
48	0.4551181102	0.3716369631
49	0.4585289515	0.3711270464
50	0.4675527756	0.3697055987
51	0.4682850431	0.3695638038
52	0.4679186228	0.3695553491
53	0.4682850431	0.3678565118
54	0.4735202492	0.3655955877
55	0.4770070148	0.3639003982
56	0.4793774319	0.3638734603
57	0.4809930178	0.3635271361
58	0.4845201238	0.3625814714
59	0.4879938033	0.3601621574
60	0.4922839506	0.3583724981
61	0.4938271605	0.3583179357
62	0.4969135802	0.3572106171
63	0.4984615385	0.3564530228
64	0.5023041475	0.3556491584
65	0.5053763441	0.3551024517
66	0.5057647963	0.3539616536
67	0.5053763441	0.3538272678
68	0.5076687117	0.3538028386
69	0.509202454	0.35327824
70	0.5129770992	0.3530962791
71	0.522331567	0.3516434853
72	0.5234493192	0.3502016463
73	0.5227272727	0.3497233916
74	0.5234493192	0.3469592092
75	0.5271903323	0.3442980646
76	0.5339366516	0.341817324
77	0.5336356765	0.3401954285
78	0.5358490566	0.3397493691
79	0.5377643505	0.3382204789
80	0.5381708239	0.3373395282
81	0.5392749245	0.3354061159
82	0.5417607223	0.3338811161
83	0.548048048	0.3323484231
84	0.5458646617	0.3310152018
85	0.5458646617	0.3302883668
86	0.5469571751	0.3295175305
87	0.5504861631	0.328547036
88	0.5515695067	0.3270438936
89	0.5500747384	0.3254567495
90	0.555472822	0.3240480064
91	0.5616641902	0.3213482182
92	0.5623145401	0.3209513325
93	0.5663454411	0.3190761166
94	0.5684678016	0.3178907265
95	0.5741697417	0.3171161421
96	0.5747973471	0.316218245
97	0.5743740795	0.3143006438
98	0.575	0.3126081864
99	0.5794117647	0.3108970935
100	0.5897810219	0.3079134686
101	0.5932944606	0.3064625095
102	0.5965166909	0.3051331133
103	0.6	0.3032725026
104	0.6054913295	0.3022329732
105	0.6030368764	0.3007717732
106	0.6083815029	0.2996415377
107	0.6089466089	0.298655242
