iter	Passed	Remaining
0	42	10564
1	87	10907
2	144	11880
3	192	11813
4	270	13265
5	320	13047
6	370	12868
7	418	12665
8	467	12521
9	512	12290
10	553	12023
11	598	11865
12	649	11832
13	662	11161
14	712	11157
15	759	11104
16	803	11017
17	881	11363
18	903	10988
19	953	10970
20	1004	10949
21	1059	10981
22	1100	10866
23	1150	10838
24	1198	10784
25	1221	10526
26	1271	10497
27	1314	10422
28	1390	10595
29	1433	10513
30	1465	10354
31	1513	10312
32	1560	10259
33	1608	10217
34	1687	10366
35	1699	10104
36	1741	10026
37	1788	9978
38	1831	9910
39	1857	9754
40	1903	9700
41	1975	9785
42	2027	9760
43	2073	9707
44	2098	9560
45	2149	9533
46	2198	9495
47	2278	9589
48	2310	9477
49	2360	9441
50	2407	9393
51	2452	9336
52	2490	9257
53	2537	9208
54	2618	9282
55	2638	9141
56	2666	9029
57	2720	9007
58	2765	8953
59	2816	8917
60	2860	8864
61	2916	8843
62	2962	8793
63	3015	8762
64	3083	8774
65	3138	8750
66	3185	8700
67	3238	8666
68	3285	8618
69	3335	8576
70	3390	8548
71	3462	8559
72	3507	8505
73	3558	8464
74	3601	8403
75	3651	8359
76	3695	8303
77	3775	8324
78	3803	8232
79	3856	8195
80	3903	8143
81	3953	8100
82	3996	8041
83	4078	8060
84	4121	8000
85	4173	7958
86	4220	7907
87	4271	7864
88	4318	7812
89	4405	7832
90	4449	7774
91	4499	7726
92	4541	7666
93	4590	7618
94	4640	7570
95	4716	7566
96	4759	7507
97	4813	7465
98	4856	7407
