iter	F1	Logloss
0	0.04583333333	0.6436246115
1	0.1143430291	0.5984163578
2	0.1490196078	0.5663999778
3	0.2013295347	0.5385763269
4	0.2015209125	0.5160179203
5	0.2193064667	0.4985017824
6	0.2292637465	0.4832368715
7	0.2790279028	0.4681714379
8	0.2523020258	0.4609659047
9	0.2659380692	0.4537159387
10	0.2319925164	0.4508252138
11	0.2456140351	0.4435268971
12	0.277676951	0.4363501379
13	0.2543778802	0.4349902772
14	0.2864913871	0.4295710433
15	0.2877828054	0.4265399399
16	0.2921550947	0.4227148694
17	0.3005366726	0.4191198094
18	0.3060498221	0.4175075308
19	0.3165340407	0.4138988456
20	0.3186619718	0.4123224183
21	0.3428079242	0.4050802965
22	0.352739726	0.4031938843
23	0.3628620102	0.4002328791
24	0.3726812816	0.3985429536
25	0.3682432432	0.3981188847
26	0.3737373737	0.3963892932
27	0.379916318	0.3940303828
28	0.3866666667	0.3924994326
29	0.391014975	0.3902441132
30	0.3926788686	0.3900595679
31	0.3980099502	0.3884064355
32	0.4089035449	0.3854414691
33	0.4138499588	0.3845035463
34	0.41191067	0.3842530426
35	0.4105960265	0.3842506512
36	0.4141914191	0.3825405784
37	0.4268192968	0.3806764444
38	0.4226044226	0.378908382
39	0.4226044226	0.3786450509
40	0.4260162602	0.3778795612
41	0.4282238443	0.3769045229
42	0.4349232013	0.3750759267
43	0.4396135266	0.3741213837
44	0.4396135266	0.3740494487
45	0.4430176565	0.3729158353
46	0.4504792332	0.3709320642
47	0.4513556619	0.3692322506
48	0.4509960159	0.3690943428
49	0.4580031696	0.3675645493
50	0.4636075949	0.3661009942
51	0.4625098658	0.3644452976
52	0.4657749803	0.3640303282
53	0.4681853888	0.3635059205
54	0.4670846395	0.3630129803
55	0.4694835681	0.3629319734
56	0.4686520376	0.3627124589
57	0.4686520376	0.362208287
58	0.4682850431	0.3615527154
59	0.4722439406	0.3587534348
60	0.4741784038	0.3580120639
61	0.4777517564	0.3574282812
62	0.4746291959	0.3568805828
63	0.4863600935	0.3536176497
64	0.4906832298	0.3524307641
65	0.4953416149	0.3512168419
66	0.4976744186	0.3504604691
67	0.4961360124	0.3491499798
68	0.5034642032	0.347916952
69	0.5042275173	0.3472149403
70	0.5050038491	0.3463641719
71	0.5073020753	0.3460942575
72	0.5103766334	0.3443008327
73	0.5149884704	0.3429455791
74	0.5164750958	0.3426739391
75	0.5194805195	0.3415136789
76	0.5210084034	0.3404076877
77	0.5190839695	0.3388487521
78	0.5194805195	0.3386690277
79	0.5239908606	0.3379376673
80	0.5280728376	0.3362558471
81	0.5288753799	0.3341162037
82	0.5341426404	0.3326768643
83	0.5414781297	0.3313443643
84	0.5396825397	0.3289817328
85	0.5447705041	0.3283253139
86	0.5543071161	0.3271448369
87	0.5547226387	0.3251288392
88	0.5538922156	0.3247637475
89	0.5601194922	0.3235613423
90	0.5641791045	0.3215145049
91	0.5624532536	0.3192093821
92	0.5613772455	0.3184035232
93	0.568452381	0.3175338098
94	0.5699404762	0.3163838658
95	0.5752409192	0.315175617
96	0.5769230769	0.3138243079
97	0.5904761905	0.3124286712
98	0.5964912281	0.3110003157
