iter	Passed	Remaining
402	13517	36796
403	13552	36766
404	13588	36739
405	13622	36707
406	13658	36679
407	13694	36652
408	13729	36622
409	13765	36596
410	13833	36653
411	13874	36638
412	13907	36603
413	13941	36571
414	13979	36549
415	14013	36516
416	14048	36484
417	14085	36460
418	14119	36428
419	14155	36400
420	14187	36361
421	14248	36398
422	14288	36379
423	14321	36343
424	14357	36315
425	14392	36284
426	14426	36252
427	14461	36220
428	14495	36189
429	14530	36156
430	14565	36125
431	14596	36086
432	14667	36144
433	14702	36111
434	14735	36077
435	14771	36048
436	14808	36022
437	14843	35989
438	14878	35959
439	14911	35923
440	14944	35888
441	14980	35857
442	15045	35897
443	15085	35879
444	15120	35846
445	15154	35814
446	15191	35785
447	15224	35749
448	15260	35720
449	15298	35695
450	15332	35661
451	15366	35628
452	15400	35593
453	15471	35646
454	15505	35611
455	15540	35578
456	15579	35555
457	15614	35524
458	15649	35491
459	15685	35461
460	15718	35425
461	15752	35391
462	15817	35427
463	15859	35409
464	15894	35377
465	15928	35342
466	15965	35315
467	15999	35280
468	16032	35243
469	16068	35213
470	16100	35174
471	16134	35140
472	16166	35101
473	16220	35110
474	16259	35086
475	16293	35051
476	16328	35018
477	16364	34988
478	16399	34956
479	16435	34925
480	16469	34890
481	16503	34856
482	16540	34826
483	16594	34834
484	16636	34816
485	16671	34783
486	16708	34754
487	16744	34724
488	16778	34688
489	16815	34660
490	16851	34628
491	16884	34593
492	16920	34561
493	16956	34531
494	17008	34532
495	17043	34498
496	17078	34466
497	17116	34440
498	17150	34403
499	17185	34371
500	17218	34334
501	17251	34296
502	17285	34260
503	17317	34222
504	17392	34268
505	17428	34237
506	17461	34200
507	17498	34171
508	17533	34136
509	17568	34103
510	17602	34067
511	17634	34029
512	17669	33996
513	17702	33958
514	17774	33996
515	17808	33959
516	17841	33923
517	17878	33893
518	17911	33856
519	17944	33819
520	17980	33786
521	18013	33749
522	18047	33713
523	18081	33679
524	18134	33677
525	18177	33660
526	18214	33629
527	18248	33594
528	18285	33562
529	18319	33528
530	18354	33495
531	18388	33459
532	18421	33421
533	18456	33388
534	18489	33349
535	18559	33380
536	18593	33344
537	18628	33308
538	18665	33279
539	18699	33243
540	18734	33208
541	18768	33174
542	18801	33135
543	18835	33101
544	18869	33064
545	18942	33096
546	18975	33059
547	19011	33026
548	19047	32994
549	19082	32960
550	19117	32926
551	19152	32892
552	19185	32854
553	19240	32853
554	19287	32840
555	19329	32818
556	19362	32780
557	19396	32744
558	19430	32708
559	19462	32668
560	19497	32634
561	19532	32601
562	19565	32563
563	19602	32531
564	19667	32546
565	19707	32520
566	19741	32485
567	19777	32451
568	19812	32418
569	19845	32379
570	19880	32345
571	19915	32310
572	19948	32272
573	19983	32238
574	20045	32247
575	20088	32224
576	20122	32188
577	20156	32152
578	20192	32119
579	20225	32082
580	20259	32045
581	20293	32008
582	20326	31970
583	20360	31934
584	20397	31903
585	20444	31888
586	20480	31854
587	20515	31819
588	20556	31794
589	20590	31757
590	20623	31720
591	20659	31687
592	20693	31650
593	20727	31614
594	20762	31579
595	20795	31541
596	20830	31507
597	20864	31471
598	20898	31435
599	20933	31399
600	20998	31410
601	21035	31378
602	21071	31345
603	21111	31317
604	21143	31278
605	21177	31241
606	21213	31208
607	21245	31169
608	21278	31132
609	21313	31096
610	21346	31059
611	21382	31025
612	21416	30988
613	21452	30955
614	21486	30919
615	21547	30921
616	21587	30893
617	21620	30856
618	21654	30820
619	21691	30787
620	21726	30752
621	21760	30717
622	21794	30679
623	21827	30642
624	21862	30607
625	21896	30570
626	21963	30581
627	21999	30547
628	22036	30514
629	22072	30481
630	22107	30445
631	22145	30415
632	22180	30380
633	22214	30343
634	22248	30307
635	22281	30269
636	22317	30235
637	22350	30198
638	22384	30160
639	22418	30125
640	22485	30132
641	22525	30103
642	22559	30067
643	22595	30033
644	22631	29999
645	22664	29962
646	22698	29925
647	22733	29890
648	22766	29852
649	22800	29816
650	22833	29778
651	22868	29743
652	22933	29747
653	22974	29719
654	23010	29684
655	23044	29649
656	23080	29614
657	23111	29574
658	23145	29537
659	23177	29498
660	23210	29460
661	23244	29424
662	23277	29386
663	23311	29350
664	23356	29326
665	23410	29315
666	23446	29281
667	23480	29245
668	23518	29213
669	23552	29177
670	23587	29142
671	23622	29106
672	23655	29068
673	23692	29035
674	23725	28997
675	23759	28961
676	23792	28923
677	23844	28908
678	23883	28878
679	23917	28841
680	23953	28807
681	23989	28773
682	24022	28735
683	24059	28702
684	24091	28663
685	24124	28626
686	24158	28589
687	24191	28551
688	24225	28514
689	24278	28500
690	24321	28474
691	24356	28439
692	24396	28409
693	24429	28371
694	24464	28336
695	24500	28302
696	24536	28267
697	24569	28230
698	24603	28193
699	24636	28156
700	24673	28122
701	24706	28084
702	24741	28049
703	24772	28010
704	24835	28006
705	24870	27970
706	24905	27935
707	24942	27902
708	24976	27865
709	25010	27828
710	25049	27797
711	25082	27760
712	25120	27727
713	25153	27690
714	25188	27654
715	25221	27616
716	25280	27607
717	25318	27575
718	25353	27539
719	25389	27505
720	25422	27467
721	25456	27430
722	25491	27395
723	25524	27357
724	25559	27322
725	25592	27284
726	25628	27250
727	25682	27234
728	25727	27209
729	25760	27172
730	25794	27135
731	25832	27102
732	25866	27066
733	25903	27032
734	25936	26995
735	25970	26958
736	26003	26921
737	26037	26884
738	26072	26848
739	26140	26847
740	26179	26815
741	26211	26777
742	26246	26741
743	26282	26706
744	26315	26669
745	26351	26633
746	26385	26597
747	26420	26561
748	26452	26522
749	26487	26487
750	26519	26449
751	26575	26434
752	26617	26405
753	26652	26369
754	26688	26335
755	26723	26299
756	26754	26260
757	26788	26222
758	26820	26184
759	26853	26146
760	26887	26110
761	26920	26072
762	26956	26038
763	27023	26033
764	27061	26000
765	27096	25964
766	27131	25928
767	27165	25892
768	27198	25854
769	27231	25817
770	27265	25780
771	27297	25742
772	27329	25703
773	27363	25666
774	27396	25628
775	27461	25621
776	27498	25587
777	27531	25549
778	27567	25514
779	27601	25478
780	27635	25441
781	27670	25406
782	27704	25369
783	27740	25334
784	27774	25297
785	27808	25261
786	27871	25250
787	27913	25221
788	27945	25183
789	27980	25146
790	28016	25111
791	28050	25075
792	28085	25040
793	28117	25001
794	28151	24964
795	28183	24925
796	28215	24887
797	28249	24851
798	28322	24848
799	28355	24811
800	28388	24773
801	28424	24738
802	28458	24702
803	28494	24667
804	28527	24629
805	28560	24592
806	28594	24554
807	28627	24517
808	28662	24482
809	28726	24470
810	28763	24436
811	28799	24401
812	28839	24369
813	28871	24331
814	28906	24295
815	28941	24259
816	28974	24222
817	29010	24187
818	29044	24150
819	29077	24112
820	29110	24075
821	29142	24037
822	29176	24000
823	29207	23961
824	29273	23951
825	29308	23915
826	29349	23884
827	29382	23846
828	29415	23809
829	29451	23774
830	29485	23737
831	29521	23702
832	29555	23666
833	29590	23629
834	29625	23594
835	29663	23560
836	29725	23546
837	29764	23513
838	29797	23475
839	29832	23439
840	29867	23403
841	29899	23365
842	29934	23330
843	29966	23291
844	30000	23254
845	30033	23217
846	30067	23180
847	30099	23142
848	30162	23128
849	30195	23090
850	30229	23054
851	30265	23018
852	30298	22981
853	30332	22945
854	30367	22909
855	30406	22876
856	30441	22839
857	30475	22803
858	30510	22767
859	30571	22751
860	30610	22718
861	30645	22681
862	30682	22647
863	30716	22610
864	30748	22572
865	30782	22536
866	30815	22498
867	30853	22464
868	30882	22424
869	30916	22387
870	30949	22350
871	31024	22343
872	31058	22306
873	31092	22269
874	31131	22236
875	31164	22199
876	31199	22163
877	31234	22127
878	31269	22091
879	31301	22053
880	31335	22016
881	31367	21978
882	31434	21965
883	31468	21928
884	31502	21891
885	31538	21856
886	31571	21818
887	31608	21784
888	31642	21747
889	31677	21711
890	31710	21674
891	31743	21636
892	31776	21599
893	31847	21587
894	31882	21551
895	31917	21515
896	31952	21479
897	31985	21442
898	32020	21406
899	32053	21369
900	32088	21332
901	32120	21295
902	32153	21257
903	32186	21220
904	32260	21209
905	32295	21173
906	32331	21138
907	32364	21101
908	32399	21064
909	32431	21026
910	32465	20990
911	32501	20954
912	32534	20917
913	32568	20880
914	32631	20862
915	32670	20829
916	32705	20792
917	32740	20756
918	32775	20720
919	32809	20684
920	32844	20648
921	32879	20612
922	32914	20575
923	32948	20539
924	32983	20503
925	33052	20488
