iter	F1	Logloss
0	0.05785123967	0.6434339701
1	0.2847399829	0.5971388354
2	0.3491803279	0.558258504
3	0.3435177539	0.5285146387
4	0.354679803	0.5046516436
5	0.361998362	0.4873086478
6	0.3752066116	0.4720187242
7	0.343537415	0.4631407239
8	0.3445945946	0.4512046015
9	0.3448858833	0.4439113801
10	0.3625730994	0.4349175196
11	0.3619683069	0.4288796423
12	0.3636363636	0.4251027456
13	0.3469387755	0.4237951935
14	0.3503401361	0.4194287637
15	0.3582842725	0.4143641709
16	0.3794531897	0.4085315661
17	0.3715481172	0.4080689863
18	0.3813488759	0.402980982
19	0.3880597015	0.4007026124
20	0.3937397035	0.3972390217
21	0.4026186579	0.3954732907
22	0.4081632653	0.3938446375
23	0.4123879381	0.3913876949
24	0.4123879381	0.3895093103
25	0.4162601626	0.38728487
26	0.4153094463	0.3872341115
27	0.4165988609	0.3856477232
28	0.4178861789	0.3844321096
29	0.4195121951	0.3828418377
30	0.4347826087	0.3807045484
31	0.4340836013	0.3799070556
32	0.4360418343	0.3796326713
33	0.4328238134	0.3793433917
34	0.4407051282	0.3778860831
35	0.4417862839	0.377285079
36	0.4532488114	0.3735983639
37	0.4502784407	0.3718175528
38	0.4520222046	0.3705290934
39	0.4622641509	0.3674936783
40	0.4623824451	0.3664036351
41	0.4738893219	0.3642300729
42	0.4833462432	0.3620558687
43	0.4930662558	0.3601773199
44	0.4915254237	0.3598330013
45	0.4915254237	0.3597998603
46	0.4888203547	0.3589897445
47	0.4911470362	0.3567406033
48	0.4976958525	0.354563244
49	0.497313891	0.3536796322
50	0.5045731707	0.3514790037
51	0.5102195307	0.351019717
52	0.5087055261	0.3489888309
53	0.5155420773	0.3470029878
54	0.5151515152	0.3469524927
55	0.5170068027	0.345638954
56	0.519245283	0.3450222632
57	0.5181268882	0.3447418654
58	0.5252069225	0.3419778402
59	0.5252069225	0.3419231049
60	0.5237735849	0.3411935681
61	0.5237735849	0.340610075
62	0.5292353823	0.3385990961
63	0.528132033	0.3375114705
64	0.527027027	0.3374356655
65	0.5352323838	0.3355834901
66	0.5341335334	0.3339087879
67	0.5450483991	0.3322544681
68	0.5454545455	0.3321554342
69	0.5454545455	0.3321059089
70	0.5465376024	0.3312720983
71	0.5432835821	0.3307414
72	0.5523385301	0.3296985386
73	0.5519287834	0.3287387092
74	0.5530022239	0.3276868517
75	0.5572801183	0.326634804
76	0.5602365115	0.3254356572
77	0.5608856089	0.3246379875
78	0.5600589536	0.3242004843
79	0.5680647535	0.3222387674
80	0.5758241758	0.3206022747
81	0.5756240822	0.319142731
82	0.5756240822	0.3180183062
83	0.577516532	0.3171823754
84	0.5829072316	0.3162196063
85	0.5841874085	0.3136375959
86	0.5872899927	0.3117994136
87	0.5897810219	0.310459587
88	0.5922684172	0.3085975919
89	0.5944767442	0.3070931146
90	0.6004350979	0.3054511714
91	0.6008708273	0.3049339601
92	0.6128334535	0.3024873832
