iter	Passed	Remaining
0	40	10069
1	119	14765
2	168	13898
3	213	13159
4	266	13064
5	313	12735
6	366	12706
7	430	13010
8	488	13067
9	529	12717
10	579	12591
11	624	12387
12	668	12194
13	678	11429
14	753	11805
15	805	11778
16	851	11664
17	864	11146
18	910	11064
19	960	11050
20	1005	10969
21	1085	11245
22	1128	11134
23	1175	11073
24	1216	10950
25	1262	10880
26	1274	10525
27	1319	10458
28	1390	10600
29	1444	10595
30	1492	10545
31	1534	10455
32	1572	10343
33	1592	10117
34	1648	10128
35	1705	10139
36	1750	10075
37	1793	10008
38	1842	9967
39	1894	9948
40	1946	9924
41	2028	10047
42	2078	10006
43	2127	9958
44	2172	9898
45	2186	9695
46	2224	9607
47	2266	9538
48	2344	9618
49	2394	9576
50	2441	9527
51	2490	9483
52	2538	9437
53	2606	9461
54	2628	9319
55	2676	9271
56	2721	9214
57	2749	9102
58	2791	9037
59	2811	8902
60	2858	8856
61	2934	8898
62	2981	8849
63	3028	8801
64	3063	8719
65	3109	8667
66	3154	8617
67	3231	8650
68	3264	8562
69	3287	8452
70	3329	8393
71	3372	8338
72	3424	8303
73	3469	8252
74	3554	8293
75	3597	8236
76	3649	8199
77	3694	8146
78	3742	8100
79	3786	8045
80	3868	8071
81	3916	8023
82	3967	7983
83	4017	7939
84	4068	7898
85	4112	7842
86	4202	7874
87	4248	7821
88	4299	7777
89	4341	7717
90	4392	7675
91	4437	7621
92	4524	7638
93	4571	7587
94	4618	7535
95	4664	7481
96	4715	7438
97	4765	7390
98	4849	7396
99	4897	7345
100	4948	7300
101	4996	7250
102	5040	7194
103	5114	7180
104	5165	7133
105	5214	7084
106	5260	7030
107	5305	6975
108	5355	6927
109	5436	6919
110	5485	6869
111	5533	6817
112	5575	6760
113	5621	6706
114	5664	6649
115	5744	6635
116	5798	6591
117	5847	6541
118	5897	6491
119	5943	6439
120	5989	6385
121	6065	6363
122	6111	6310
123	6160	6259
124	6209	6209
125	6256	6157
126	6305	6106
127	6391	6091
128	6436	6037
129	6486	5987
130	6534	5935
131	6580	5882
132	6649	5849
133	6704	5804
134	6755	5754
135	6799	5699
136	6846	5647
137	6893	5594
138	6938	5540
139	7011	5509
140	7058	5456
141	7102	5401
142	7146	5347
143	7191	5294
144	7243	5245
145	7328	5220
146	7374	5167
147	7424	5116
148	7471	5064
149	7516	5011
150	7563	4958
151	7647	4930
152	7698	4880
153	7743	4827
154	7791	4775
155	7835	4721
156	7882	4669
157	7965	4637
158	8016	4588
159	8063	4535
160	8112	4484
161	8155	4430
162	8233	4394
163	8285	4344
164	8333	4292
165	8381	4241
166	8430	4190
167	8477	4137
168	8555	4100
169	8606	4049
170	8657	3999
171	8704	3947
172	8754	3896
173	8794	3841
174	8872	3802
175	8919	3750
176	8970	3699
177	9018	3647
178	9065	3595
179	9110	3542
180	9198	3506
181	9243	3453
182	9293	3402
183	9338	3349
184	9391	3299
185	9435	3246
186	9513	3205
187	9561	3153
188	9613	3102
189	9658	3049
190	9707	2998
191	9752	2946
192	9835	2904
193	9880	2851
194	9934	2801
195	9978	2749
196	10029	2698
197	10072	2645
198	10153	2602
199	10201	2550
200	10250	2498
201	10292	2445
202	10344	2394
203	10387	2342
204	10469	2298
205	10511	2245
206	10562	2194
207	10605	2141
208	10652	2089
209	10696	2037
210	10779	1992
211	10823	1940
212	10874	1889
213	10918	1836
214	10965	1785
215	11010	1733
216	11094	1687
217	11141	1635
218	11192	1584
219	11234	1531
220	11282	1480
